"url","provenance","qualification"
"http://alpha.gsmg.io/","urlscan","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/css/app.css?id=7c32eabe230f33bc3962","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/js/app.js?id=7759b6b5c6ea4f2820bb","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/js/vendor.js?id=462c49c14cdb045b2794","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/robots.txt","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/00807222af8048051128","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/024071327f80d7d97bdf","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/13b2170e71eb99cb3a17","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/1470e62047f665ec7acc","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/21a5cd9aab714e4dc7d8","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/4589371229d54c310fe2","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/4589371229d54c310fe2.png","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/5968ac1cf371ec172408","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/61e8a82a4abbc04a7bd8","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/6f93a1eb1138710b0daf","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/766f9c0f1a0c90f6d8f0","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/7ca12d5b965fcdac8742","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/7e481bc1b40994aa54cb","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/83dfa64ee8aca963ca39","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/8c035e988d624859f19f","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/97a611a1ce86a71159c5","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/9b1bf05ba2f822462cbb","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/a8e71114bf4bccac5549","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/ab2c2b83a38a476daa8d","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/d2180a40affd0acbdfb6","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/ddcf0a8c1eeb4c6113ee","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/de22f7eab1fa76bd483e","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/e3ad2dcf7e2d3ba7cf6d","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/e86aa5b76fa8999a1801","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/eab2d0138bb328a418db","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://beta.gsmg.io/shared/f4b06533e68795579465","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://gsmg.io","urlscan","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://Gsmg.io","urlscan","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://gsmg.io/","wayback|urlscan","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://gsmg.io/ca","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://gsmg.io/choiceisanillusioncreatedbetweenthosewithpowerandthosewithoutaveryspecialdessertiwroteitmyself","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://gsmg.io/choiceisanillusioncreatedbetweenthosewithpowerandthosewithoutaveryspecialdessertiwroteitmyself%5Cu003c/a%5Cu003e%5Cu003c/li%5Cu003e%5Cn%5Cu003c/ul%5Cu003e%5Cn%5Cu003cdiv","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://gsmg.io/favicon.ico","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://gsmg.io/favicon.png","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://gsmg.io/img/favicon_small.png","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://gsmg.io/js/app.js?id=2d0873fac3bba9de6e2d","wayback","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://gsmg.io/phase1verification","urlscan","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://gsmg.io/puzzle","wayback|urlscan","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
"http://gsmg.io/PUZZLE","urlscan","Exact observed URL string; observation does not by itself prove unique or puzzle-bearing content."
